id,vendor,product_name,units,brand,max_price,min_price,avg_price,days_with_price_data
89760,TandT,Gudao Passion Fruit Green Tea-600 (600g),600g,,2.52,2.29,2.30483870967742,62
62982,NoFrills,Jasmine Green Tea,200g,Tradition,6.99,6.99,6.99,60
89010,TandT,Asahi Green Tea (620ml),620ml,,2.52,2.52,2.52,58
2325989,Metro,Organic Jasmine Green Tea Bags,16un,Four O'Clock,6.49,5.99,6.38655172413793,58
2890048,NoFrills,Premium Brewed Ginseng and Honey Green Tea,8x200.0ml,Arizona,4.49,2.99,3.79689655172414,58
92868,TandT,Asahi Green Tea-2L (2l),2l,,6.59,6.59,6.59,56
104768,Walmart,"Twinings Green Tea, Pack of 50 Tea Bags",Pack of 50 Tea Bags,Twinings,9.97,8.97,9.91642857142857,56
92860,TandT,Asahi Mixed Herbal Green Tea (2l),2l,,6.59,3.99,5.73909090909091,55
3683450,TandT,Kutao Passsion Fruit Green Tea 1500ml,,,4.72,4.72,4.72,55
3391490,TandT,Glico Fukami Green Tea Pocky (61.6g),61.6g,,3.29,3.29,3.29,54
1699361,Loblaws,Organic Green Tea,200g,T&T,7.29,6.99,7.04660377358491,53
1699387,Loblaws,Organic Japanese Matcha Green Tea Powder,250g,Elan,26.99,24.99,26.4239622641509,53
1701009,Loblaws,Premium Brewed Ginseng and Honey Green Tea,8x200.0ml,Arizona,5.49,4.99,5.34283018867925,53
1703979,Loblaws,Super Green Tea Antiox Tropical With Vitamin C,20ea,Tetley,4.99,4.99,4.99,53
1704029,Loblaws,Superblends Fortified Green Tea Citrus & Ginger With Echinacea,18ea,Twinings,8.99,4.99,7.36735849056604,53
1705119,Loblaws,Up Your Skin & Hair Powder Citrus Green Tea,283g,SPROOS,40.99,35.99,39.5749056603774,53
2326471,Metro,Green Tea Matcha Latte Concentrate,946ml,Tazo,7.49,4.99,7.05603773584906,53
2887662,NoFrills,Matcha Green Tea Ice Cream,450ml,Haagen Dazs,5.49,4.99,5.22584905660377,53
2892074,NoFrills,Super Green Tea Antiox Tropical With Vitamin C,20ea,Tetley,4.49,2.99,3.2177358490566,53
10590,Voila,Compliments  Green Tea Decaffeinated 72 Bags,72 per pack,,6.49,5.99,6.16307692307692,52
10592,Voila,Compliments Green Tea 72 EA,72 per pack,,5.49,3.50,5.29865384615385,52
10655,Voila,Oteas Green Tea Tea 203 g,33.75g,,6.99,6.99,6.99,52
2885982,NoFrills,Green Tea,30g,3-Crown,1.79,1.79,1.79,52
16323,Galleria,MATCHA GREEN TEA COOKIES 98.6G,EA,,5.99,5.99,5.99,51
917842,Galleria,GLICO POCKY GREEN TEA 40g,$1.99,,1.99,1.99,1.99,50
917843,Galleria,GLICO POCKY GREEN TEA 70g,$2.99,,2.99,2.99,2.99,50
88610,TandT,T&T Non-Sugar Jasmine Green Tea (1.23l),1.23l,,3.62,3.62,3.62,48
88621,TandT,T&T Jasmine Green Tea (1.23l),1.23l,,3.62,3.29,3.3175,48
3363714,SaveOnFoods,"Arizona - Low-CalorieGreen Tea with Ginsengand Honey, 960 Millilitre",960 Millilitre,Arizona,3.39,2.49,3.165,48
3363715,SaveOnFoods,"Arizona - Premium Brewed Ginseng and Honey Green Tea, 960 Millilitre",960 Millilitre,Arizona,3.39,2.49,3.165,48
3364091,SaveOnFoods,"Lipton - Green Tea, 100 Each",100 Each,Lipton,8.99,10.49,9.13583333333333,48
3364092,SaveOnFoods,"Lipton - Green Tea with Honey, 547 Millilitre",547 Millilitre,Lipton,3.79,2.75,2.99958333333333,48
3364847,SaveOnFoods,"Western Family - Green Tea Decaffeinated, 80 Each",80 Each,Western Family,8.49,8.49,8.49,48
3364338,SaveOnFoods,"Only Goodness - Organic Citrusy Herbal Green Tea, 20 Each",20 Each,Only Goodness,5.19,4.49,4.99659574468085,47
3364351,SaveOnFoods,"Peace Tea - Mango Green Tea Drink, 695 Millilitre",695 Millilitre,Peace Tea,2.19,1.67,1.83170212765957,47
3364640,SaveOnFoods,"Stash - Green Tea - Moroccan Mint, 20 Each",20 Each,Stash,6.99,4.49,5.97936170212766,47
3364648,SaveOnFoods,"Stash - Premium Green Tea, 20 Each",20 Each,Stash,6.99,4.49,5.97936170212766,47
3364692,SaveOnFoods,"Tazo - Zen Green Tea, 20 Each",20 Each,Tazo,6.79,4.49,5.90914893617021,47
3364704,SaveOnFoods,"Tetley - Green Tea - Naturally Decaffeinated, 80 Each",80 Each,Tetley,8.99,11.99,12.0325531914894,47
3364705,SaveOnFoods,"Tetley - Green Tea - Pure, 24 Each",24 Each,Tetley,5.69,4.50,4.85446808510638,47
3364716,SaveOnFoods,"Tetley - Pure Green Tea, 80 Each",80 Each,Tetley,8.99,11.99,12.0325531914894,47
91716,TandT,Samkwang Almond Green Tea Spred (250g),250g,,9.99,10.99,9.54347826086956,46
3522881,TandT,C2 Green Tea - Classic (500ml) ,,,2.19,1.97,2.10869565217391,46
88124,TandT,T&T Organic Green Tea Tea Bag-100packs 200g,,,8.02,7.29,7.436,45
89201,TandT,I-Mei Ice Bar Green Tea Qq (280g),280g,,8.79,8.79,8.79,45
3364846,SaveOnFoods,"Western Family - Green Tea, 72 Each",72 Each,Western Family,7.99,7.99,7.99,45
111419,Walmart,"Stash Moroccan Mint Green Tea, 20 tea bags",20 tea bags,Stash Tea,4.97,10.34,5.3446511627907,43
94216,TandT,Maxim's Green Tea With Red Bean Snowy Mooncake Twin Pack (60gx2),60gx2,,9.77,7.99,8.7952380952381,42
71255,NoFrills,Chinese Green Tea,30g,Wissotzky,3.99,3.99,3.99,41
3364768,SaveOnFoods,"Twinings - Green Tea, 50 Each",50 Each,Twinings,9.99,13.69,11.4485365853659,41
108529,Walmart,"Pure Leaf Green Tea with Honey, 547 mL Bottle, 547mL",547ml,Pure Leaf,2.97,2.97,2.97,40
3683625,TandT,Tea Master Jasmine Green Tea (100g),100g,,9.99,9.99,9.99,40
95764,TandT,October Fifth Assorted Fruit & Green Tea Flavour Mooncake (60gx8),60gx8,,29.99,29.99,29.99,39
44545,Metro,Green Tea,20un,Tazo,6.99,5.49,6.27157894736842,38
3374621,TandT,Heytea Peach&Cranberry Green Tea (450ml),450ml,,2.99,1.41,2.86526315789474,38
